M/C Brand,Production Date,M/C Dia & Gauge,Booking Type,Lot,Color,Color Range,stitch,Dia,GSM,SHIFT-A,SHIFT-B,SHIFT-C,Without Shift(Outbound),Shift Total,Machine Total,Reject Qty,Yarn_Count,Yarn_count_length,m/c_dia,m/c_gauge,fabric_dia_1,fabric_dia_2,contraction_1,contraction_2,contraction,number_of_feeders,yarn_count_1,yarn_count_tex_1,yarn_count_tex_2,yarn_count_tex_3,stitch_1,stitch_2,stitch_3,tightness_factor,composition,construction,body_part
Fukuhara,01-06-2022  ,52 X 14,Main,MGF-SS-8,PURE WHITE 00010  ,White Color  ,4.75  ,52,700,0,0,23.72,0,23.72,211.22,0,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.75,,,1.044353414,Cotton,Rib,Rib
Fukuhara,01-06-2022  ,52 X 14,Main,MGF-SS-8,PURE WHITE 00010  ,White Color  ,4.75  ,52,700,0,0,31,0,31,,0,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.75,,,1.044353414,Cotton,Rib,Rib
Fukuhara,01-06-2022  ,52 X 14,Main,MGF-63,CHARCOAL HEATHER - 00009  ,Wash  ,4.75  ,52,700,0,0,29.7,0,29.7,,0,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.75,,,1.044353414,Cotton,Rib,Rib
Fukuhara,01-06-2022  ,52 X 14,Main,"BF-22-10200,BF-22-12463",RIBBON RED[19-1663 TCX]; 5MM TIPPING-WHITE  ,Wash  ,4.70  ,52,700,0,0,46,0,46,,0,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.7,,,1.055463557,Cotton,other,Rib
Fukuhara,01-06-2022  ,52 X 14,Main,BF-22-12463,RIBBON RED[19-1663 TCX]; 5MM TIPPING-WHITE  ,Wash  ,4.70  ,52,700,0,0,80.8,0,80.8,,0,24/1,1,52,14,52,52,1,1,1,156,24/1,24.60833333,,,4.7,,,1.055463557,Cotton,other,Rib
Fukuhara,01-06-2022  ,32 X 24,Main,GU-L1811132018,09 BLACK  ,Black Color  ,2.90  ,66,140,192.5,180.6,192.8,0,565.9,565.9,0,32/1,1,32,24,66,66,2.0625,2.0625,2.0625,102,32/1,18.45625,,,2.9,,,1.481404755,Cotton,S/J,Body
Fukuhara,01-06-2022  ,32 X 24,Main,"MS-13083327,NB-Z3204",NAVY  ,Dark Color  ,3.10/1.35/1.10  ,72,230,108.4,112.2,117.5,0,338.1,338.1,0,"30/1,30/D",2,32,24,72,72,2.25,2.25,2.25,96,30/1,19.68666667,3.333333333,,3.1,1.35,1.1,1.431279332,Cotton_Elastan,Fleece_terry,Bottom
Fukuhara,01-06-2022  ,32 X 24,Main,GU-L1811132018,09 BLACK  ,Black Color  ,2.90  ,66,140,187.1,192.1,187.2,0,566.4,566.4,0,32/1,1,32,24,66,66,2.0625,2.0625,2.0625,102,32/1,18.45625,,,2.9,,,1.481404755,Cotton,S/J,Body
Fukuhara,01-06-2022  ,32 X 24,Main,GU-667W,00 WHITE  ,White Color  ,2.95  ,66,140,178.1,173,175.9,0,527,527,0,30/1,1,32,24,66,66,2.0625,2.0625,2.0625,102,30/1,19.68666667,,,2.95,,,1.504056248,Cotton,S/J,Body
Fukuhara,01-06-2022  ,34 X 24,Main,MS-L2811130034,HOT PINK  ,Light Color  ,2.85  ,70,140,210,191.3,192.5,0,593.8,593.8,0,30/1,1,34,24,70,70,2.058823529,2.058823529,2.058823529,108,30/1,19.68666667,,,2.85,,,1.556830151,Cotton,S/J,Top
Fukuhara,01-06-2022  ,30 X 24,Other,"GU-W30004,NB-S2803",WHITE  ,White Color  ,3.00/1.00  ,60,160,112.5,109.9,111.7,0,334.1,334.1,0,"40/1,20/D",2,30,24,60,60,2,2,2,96,40/1,14.765,2.222222222,,3,1,,1.280841737,Cotton_Elastan,LS/J,Body
